Segmento;Sub-Tipo / Categoria;Nome do Campo;Tipo de Campo (Input/Select);Opções Sugeridas (Separadas por Semicolon);Origem do Campo (Atual/Proposto);Justificativa de Engenharia;
1. Processamento e Mistura;Misturadores / Moinhos;Sub-tipo de Equipamento*;Seleção (Select);"Misturador; Moinho";Atual;Define a subseção de perguntas a exibir no formulário.;
1. Processamento e Mistura;Misturadores;Peso de 1 Litro do Produto Solto na Jarra (g)*;Número;-;Proposto Melhorado (UX);Substitui a densidade aparente. O cliente pesa 1L e a engenharia calcula a densidade e o volume útil.;
1. Processamento e Mistura;Misturadores;Capacidade Total (Litros)*;Número;-;Atual;Capacidade máxima geométrica do vaso do misturador.;
1. Processamento e Mistura;Misturadores;Volume Útil de Trabalho (Litros)*;Número;-;Atual;Volume máximo recomendado para garantir homogeneização perfeita do produto.;
1. Processamento e Mistura;Misturadores;Método de Alimentação de Carga (Entrada)*;Seleção (Select);"Manual (Operador joga sacos); Içamento de Big Bag; Transporte Pneumático/Rosca";Proposto Engenharia (Zero Erros);Alimentação manual em altura exige que a engenharia projete plataformas, escadas ergonômicas e grades NR-12 anti-queda.;
1. Processamento e Mistura;Misturadores;Tempo Estimado de Ciclo (Minutos);Texto / Número;-;Atual;Produtividade esperada pelo cliente.;
1. Processamento e Mistura;Misturadores;Tipo de Descarga Requerida*;Seleção (Select);"Válvula Borboleta Manual; Válvula Borboleta Pneumática; Válvula Guilhotina/Slide; Válvula Rotativa Sanitária";Atual;Influencia a automação e acoplamento a sistemas de transporte de pó.;
1. Processamento e Mistura;Misturadores;Nível de Abrasividade/Corrosividade*;Seleção (Select);"Baixo (Pó comum, açúcar, grãos secos); Médio (Abrasão moderada, sal); Alto / Crítico (Altamente corrosivo)";Atual;Determina o tipo de revestimento e espessura das chapas do misturador.;
1. Processamento e Mistura;Misturadores;Comportamento Físico do Produto*;Seleção (Select);"Comportamento normal; Empedra (Forma grumos); Levanta muita poeira";Proposto Novo;Avisa a engenharia se precisará de eixos intensificadores (choppers) ou bocal de exaustão.;
1. Processamento e Mistura;Misturadores;Umidade / Presença de Líquidos (%);Número;-;Proposto Novo;Pós úmidos ou com adição de óleos alteram drasticamente o torque exigido (exige motorredutor mais potente).;
1. Processamento e Mistura;Misturadores;Material de Construção do Equipamento;Seleção (Select);"Aço Inox 304 (Padrão); Aço Inox 316L (Farma/Altamente corrosivo); Aço Carbono (Industrial comum)";Proposto Novo;Define o custo e a compatibilidade química com os insumos do cliente.;
1. Processamento e Mistura;Misturadores;Requisito de Camisa Dupla;Seleção (Select);"Não exige; Aquecimento Elétrico (Resistência); Aquecimento por Vapor/Óleo; Resfriamento por Água Gelada";Proposto Novo;Define se o misturador precisa de parede dupla para controlar temperatura durante o processo.;
1. Processamento e Mistura;Misturadores;Altura Máxima Disponível de Pé-Direito (mm);Número;-;Proposto Novo;Misturadores grandes com tampas abertas exigem muito espaço vertical na fábrica.;
1. Processamento e Mistura;Moinhos;Granulometria Inicial (mm)*;Texto;-;Atual;Evita entupimento no bocal de alimentação do moinho.;
1. Processamento e Mistura;Moinhos;Micronização Alvo (mesh/mm)*;Texto;-;Atual;Define a velocidade do martelo/rotor e o tipo de elemento moedor.;
1. Processamento e Mistura;Moinhos;Dureza / Abrasividade do Material*;Seleção (Select);"Baixa (Produtos leves); Média (Grãos secos, sementes); Alta (Minerais)";Atual;Moinhos para minerais exigem martelos com revestimento especial de carboneto de tungstênio.;
1. Processamento e Mistura;Moinhos;Tipo de Peneira*;Seleção (Select);"Furos Redondos Padrão; Furos Cônicos (Anti-entupimento); Malha Tecida (Ultra fina)";Atual;Define a retenção mecânica do pó.;
2. Encapsulamento & Farmacêutica;Softgel / Duras / Contadores;Sub-tipo de Linha*;Seleção (Select);"Encapsuladora de Gelatina Dura / Softgel; Contadores de Comprimidos/Cápsulas";Atual;Tabela de inputs dinâmicos do segmento.;
2. Encapsulamento & Farmacêutica;Cápsula Dura;Formato/Tamanho da Cápsula Dura*;Seleção (Select);"Nº 00 (Grande); Nº 0 (Padrão); Nº 1 (Médio); Nº 2 (Pequeno); Nº 3 (Muito pequeno); Nº 4 (Micro); Customizado / Sob Encomenda";Atual;Define os blocos de ferramentais de enchimento da máquina.;
2. Encapsulamento & Farmacêutica;Cápsula Dura;Origem / Material da Cápsula*;Seleção (Select);"Origem Animal (Gelatina); Origem Vegetal (HPMC)";Proposto Novo;Cápsulas vegetais possuem comportamento estático diferente na máquina.;
2. Encapsulamento & Farmacêutica;Softgel;Modelo Softgel (Formato/Tamanho)*;Seleção (Select);"Oval 3; Oval 7.5; Oblong 10; Oblong 20; Round 5; Outro formato personalizado";Atual;Define o desenho e gravação dos rolos moldes (dies) sob encomenda.;
2. Encapsulamento & Farmacêutica;Softgel;Características do Produto de Preenchimento*;Seleção (Select);"Líquido Oleoso (Padrão); Pastoso / Alta Viscosidade; Suspensão (Particulados/Decantação); Altamente Termossensível";Atual;Suspensões ou pastosos exigem funil com agitador aquecido para manter o fluxo constante.;
2. Encapsulamento & Farmacêutica;Contadores;Destino da Contagem*;Seleção (Select);"Frascos / Potes Plásticos ou Vidro; Sacos / Stand-up Pouch / Envelopes";Atual;Muda a arquitetura física (funil de frascos vs bico de envelopamento).;
2. Encapsulamento & Farmacêutica;Contadores;Aparência Visual da Cápsula/Comprimido*;Seleção (Select);"Opaco (Cor Sólida); Translúcido / Transparente";Proposto Novo;Sensores ópticos comuns não detectam produtos transparentes e falham na contagem.;
2. Encapsulamento & Farmacêutica;Contadores;Diâmetro de Boca do Pote (mm)*;Texto;-;Atual;Determina o diâmetro dos funis distribuidores de contagem (para não travar ou derramar).;
2. Encapsulamento & Farmacêutica;Contadores;Altura Máxima do Pote (mm)*;Texto;-;Atual;Sincroniza o curso de subida/descida do bico pneumático de contagem.;
2. Encapsulamento & Farmacêutica;Contadores;Dimensão da Embalagem Flexível (L x A)*;Texto;-;Atual;Usado para dimensionar o funil de transição para o saco.;
2. Encapsulamento & Farmacêutica;Geral;Velocidade de Produção Alvo (Cápsulas/min);Número;-;Proposto Novo;Determina a quantidade de furos e canais de dosagem necessários na engenharia.;
2. Encapsulamento & Farmacêutica;Geral;Controle Climático da Sala (HVAC);Seleção (Select);"Não tem controle; Sala climatizada apenas (temp); Sala limpa estéril com controle de umidade ativa (<30% UR)";Proposto Novo;Gelatina e pós higroscópicos colam ou derretem se o ambiente não for desumidificado por HVAC industrial.;
3. Fabricação de Gomas & Balas Gummy;Gummy;Tipo de Matéria-Prima Principal*;Seleção (Select);"Pectina (Origem vegetal - rápida gelificação); Gelatina (Origem animal - maior rigidez/tempo resfriamento); Carragena / Outros amidos";Atual;Define o tempo de resfriamento e o tipo de cozinha de cocção e dosadora.;
3. Fabricação de Gomas & Balas Gummy;Gummy;Maturidade da Receita*;Seleção (Select);"Receita validada em produção contínua; Formulação inicial de laboratório/cozinha";Proposto Novo;Alinha expectativas sobre o brix do xarope e riscos de processo no escalonamento.;
3. Fabricação de Gomas & Balas Gummy;Gummy;Gramatura Estimada por Goma (g)*;Número;-;Proposto Engenharia (Zero Erros);Crucial para o dimensionamento exato do volume da câmara do pistão da dosadora mogul.;
3. Fabricação de Gomas & Balas Gummy;Gummy;Capacidade de Produção Alvo (kg/h)*;Seleção (Select);"Até 50 kg/h (Pequena escala / Lab); Até 150 kg/h (Escala média); Até 300 kg/h (Escala industrial); Acima de 300 kg/h (Alta performance)";Atual;Dimensiona o tamanho da panela/cozinha de cocção e largura da esteira do túnel.;
3. Fabricação de Gomas & Balas Gummy;Gummy;Adição de Ingredientes Termossensíveis?*;Seleção (Select);"Não; Sim (Vitaminas, CBD, Melatonina, etc)";Proposto Novo;Ativos sensíveis ao calor queimam na cocção, exigindo misturador em linha perto da dosadora.;
3. Fabricação de Gomas & Balas Gummy;Gummy;Revestimento Final (Coating)*;Seleção (Select);"Óleo de polimento; Açúcar Cristal / Acido (Sanded)";Proposto Engenharia (Zero Erros);O revestimento dita se o final da linha precisará de um tambor rotativo aplicador de óleo ou um tambor de cobertura de açúcar.;
3. Fabricação de Gomas & Balas Gummy;Gummy;Geometria e Molde 3D Requerido*;Seleção (Select);"Ursinho Clássico (Gummy Bear); Amora / Redonda Estriada; Coração / Geométrico; Formato personalizado (Exige projeto CAD/CNC)";Atual;Para projetos customizados, exige desenvolvimento de molde de metal por usinagem CNC CNC/CAD.;
3. Fabricação de Gomas & Balas Gummy;Gummy;Sistema de Resfriamento Requerido*;Seleção (Select);"Túnel de Resfriamento Contínuo com Esteira; Câmara Fria Estática (Bandejas)";Atual;"O túnel contínuo automatiza o processo; a câmara fria exige processo em bateladas com mão de obra.";
3. Fabricação de Gomas & Balas Gummy;Gummy;Teor de Sólidos / Brix do Xarope;Texto;-;Proposto Novo;Determina a taxa de evaporação de água na cozinha (dimensionamento dos tanques e misturadores).;
3. Fabricação de Gomas & Balas Gummy;Gummy;Método de Desmolde;Seleção (Select);"Pulverização de Óleo de Desmolde (Mais limpo); Banho de Amido (Mogul Clássico)";Proposto Novo;Gomas de gelatina/pectina em moldes de metal exigem lubrificação ativa com óleo pneumático.;
